a,a.DET:4
officer,officer.V::g1s:g1p:g2s:g2p:g3p
official,official.N
officials,official.N
offish,offish.ADJ
off,off.ADV
offprint,offprint.N
often,often.ADV
oft,oft.ADV
og,og.N
oiled,oil.V
oil,oil.V::g1s:g1p:g2s:g2p:g3p
ointments,ointment.N
older,old.ADJ
oldish,oldish.ADJ
old,old.N
omission,omission.N
omit,omit.V::g1s:g1p:g2s:g2p:g3p
omitted,omit.V
once,once.ADV
one,one.PRO
oneself,oneself.PRO
ones,one.N
only,only.ADV
on,on.ADV
opened,open.V
opening,open.V
open,open.ADV
operated,operate.V
operating,operate.V
operation,operation.N
operations,operation.N
opinion,opinion.N
opportunity,opportunity.N
opposed,oppose.V
opposite,opposite.ADV
oppression,oppression.N
oppressive,oppressive.ADJ
optics,optic.N
optimistic,optimistic.ADJ
oral,oral.ADJ
ordered,order.V
order,order.V::g1s:g1p:g2s:g2p:g3p
ordinal,ordinal.N
ordinals,ordinal.N
ordinary,ordinary.N
ordination,ordination.N
ordinations,ordination.N
ore,ore.N
organisation,organisation.N
originally,originally.ADV
original,original.N
originals,original.N
orthography,orthography.N
os,o.N
other,other.ADV
others,other.N
otherwise,otherwise.ADV
ought,ought.V::g1s:g1p:g2s:g2p:g3s:g3p
our,our.ADJ
ourselves,ourselves.PRO
ours,ours.PRO
outbursts,outburst.N
outcome,outcome.N
outer,outer.ADJ
outfit,outfit.V::g1s:g1p:g2s:g2p:g3p
outline,outline.V::g1s:g1p:g2s:g2p:g3p
outside,outside.ADV
outs,out.V::g3s
outward,outward.ADV
overcome,overcome.V::g1s:g1p:g2s:g2p:g3p
overdo,overdo.V::g1s:g1p:g2s:g2p:g3p
overeating,overeat.V
overestimate,overestimate.V::g1s:g1p:g2s:g2p:g3p
overjoyed,overjoy.V
overlapping,overlap.V
overleaf,overleaf.ADJ
overlooked,overlook.V
overlooking,overlook.V
over,over.ADV
overstated,overstate.V
overwhelmingly,overwhelmingly.ADV
overwhelming,overwhelm.V
overworked,overwork.V
overworking,overwork.V
owed,owe.V
owe,owe.V::g1s:g1p:g2s:g2p:g3p
owing,owe.V
own,own.PRO
packages,package.V::g3s
packed,pack.V
pad,pad.V::g1s:g1p:g2s:g2p:g3p
page,page.V::g1s:g1p:g2s:g2p:g3p
pages,page.V::g3s
paid,pay.V
painfully,painfully.ADV
painful,painful.ADJ
pain,pain.V::g1s:g1p:g2s:g2p:g3p
pains,pain.V::g3s
painstaking,painstaking.N
painter,painter.N
painters,painter.N
painting,paint.V
paint,paint.V::g1s:g1p:g2s:g2p:g3p
pair,pair.V::g1s:g1p:g2s:g2p:g3p
palace,palace.N
pale,pale.V::g1s:g1p:g2s:g2p:g3p
pamphlet,pamphlet.N
panels,panel.V::g3s
paper,paper.V::g1s:g1p:g2s:g2p:g3p
papers,paper.V::g3s
paradoxical,paradoxical.ADJ
paradox,paradox.N
paralyses,paralyse.V::g3s
parcel,parcel.ADV
parcels,parcel.V::g3s
pardon,pardon.V::g1s:g1p:g2s:g2p:g3p
parents,parent.N
par,par.N
parson,parson.N
partake,partake.V::g1s:g1p:g2s:g2p:g3p
parted,part.V
particularly,particularly.ADV
particular,particular.N
parting,part.V
partly,partly.ADV
part,part.ADV
parts,part.V::g3s
party,party.V::g1s:g1p:g2s:g2p:g3p
passage,passage.V::g1s:g1p:g2s:g2p:g3p
passages,passage.V::g3s
passed,pass.V
passing,passing.ADV
pass,pass.V::g1s:g1p:g2s:g2p:g3p
passport,passport.N
passports,passport.N
past,past.N
path,path.N
patience,patience.N
patient,patient.N
patients,patient.N
patriotically,patriotically.ADV
patriotism,patriotism.N
pause,pause.V::g1s:g1p:g2s:g2p:g3p
paying,pay.V
payment,payment.N
payments,payment.N
pay,pay.V::g1s:g1p:g2s:g2p:g3p
peacefully,peacefully.ADV
peaceful,peaceful.ADJ
peace,peace.V::g1s:g1p:g2s:g2p:g3p
peaches,peach.V::g3s
peasant,peasant.N
peculiar,peculiar.N
pencil,pencil.V::g1s:g1p:g2s:g2p:g3p
penetrate,penetrate.V::g1s:g1p:g2s:g2p:g3p
pennies,penny.N
penny,penny.N
pen,pen.V::g1s:g1p:g2s:g2p:g3p
pent,pent.ADJ
people,people.V::g1s:g1p:g2s:g2p:g3p
peoples,people.V::g3s
perception,perception.N
perfectly,perfectly.ADV
perfect,perfect.V::g1s:g1p:g2s:g2p:g3p
performance,performance.N
performances,performance.N
perfumes,perfume.V::g3s
perhaps,perhaps.ADV
period,period.N
periods,period.N
periphery,periphery.N
permanent,permanent.N
permission,permission.N
permit,permit.V::g1s:g1p:g2s:g2p:g3p
permits,permit.V::g3s
pernicious,pernicious.ADJ
per,per.ADV
perpetual,perpetual.ADJ
persisted,persist.V
persistent,persistent.ADJ
personally,personally.ADV
personal,personal.N
person,person.N
perturbed,perturb.V
pestering,pester.V
pester,pester.V::g1s:g1p:g2s:g2p:g3p
petered,peter.V
pet,pet.V::g1s:g1p:g2s:g2p:g3p
phantom,phantom.N
phenomenon,phenomenon.N
philosopher,philosopher.N
philosophers,philosopher.N
philosophically,philosophically.ADV
philosophical,philosophical.ADJ
philosophic,philosophic.ADJ
philosophize,philosophize.V::g1s:g1p:g2s:g2p:g3p
philosophizing,philosophize.V
philosophy,philosophy.N
phoned,phone.V
phone,phone.V::g1s:g1p:g2s:g2p:g3p
photograph,photograph.V::g1s:g1p:g2s:g2p:g3p
photo,photo.N
photos,photo.N
phrase,phrase.V::g1s:g1p:g2s:g2p:g3p
phrases,phrase.V::g3s
physically,physically.ADV
physical,physical.ADJ
physician,physician.N
physics,physic.V::g3s
physiognomy,physiognomy.N
physiological,physiological.ADJ
physiologist,physiologist.N
piano,piano.ADV
picking,pick.V
pick,pick.V::g1s:g1p:g2s:g2p:g3p
pictorial,pictorial.N
pictured,picture.V
picture,picture.V::g1s:g1p:g2s:g2p:g3p
pictures,picture.V::g3s
piece,piece.V::g1s:g1p:g2s:g2p:g3p
pins,pin.V::g3s
pints,pint.N
pity,pity.V::g1s:g1p:g2s:g2p:g3p
placed,place.V
place,place.V::g1s:g1p:g2s:g2p:g3p
places,place.V::g3s
placidity,placidity.N
plainer,plain.ADJ
plain,plain.ADV
plane,plane.V::g1s:g1p:g2s:g2p:g3p
planets,planet.N
planned,plan.V
planning,plan.V
plan,plan.V::g1s:g1p:g2s:g2p:g3p
plans,plan.V::g3s
plastic,plastic.N
plattdeutsch,plattdeutsch.N
plausibility,plausibility.N
played,play.V
play,play.V::g1s:g1p:g2s:g2p:g3p
plays,play.V::g3s
pleasanter,pleasant.ADJ
pleasant,pleasant.ADJ
pleased,please.V
please,please.V::g1s:g1p:g2s:g2p:g3p
pleasure,pleasure.V::g1s:g1p:g2s:g2p:g3p
plenty,plenty.ADV
pliable,pliable.ADJ
plod,plod.V::g1s:g1p:g2s:g2p:g3p
plural,plural.N
plus,plus.N
poem,poem.N
poems,poem.N
poetry,poetry.N
pointed,point.V
pointing,point.V
point,point.V::g1s:g1p:g2s:g2p:g3p
points,point.V::g3s
poisonous,poisonous.ADJ
poison,poison.V::g1s:g1p:g2s:g2p:g3p
polarity,polarity.N
polemic,polemic.N
pole,pole.V::g1s:g1p:g2s:g2p:g3p
poles,pole.V::g3s
poliomyelitis,poliomyelitis.N
politely,politely.ADV
polite,polite.ADJ
politically,politically.ADV
political,political.ADJ
poorer,poor.ADJ
poor,poor.ADJ
popped,pop.V
popular,popular.ADJ
porter,porter.N
porters,porter.N
portrait,portrait.N
position,position.V::g1s:g1p:g2s:g2p:g3p
positive,positive.N
posse,posse.N
possession,possession.N
possess,possess.V::g1s:g1p:g2s:g2p:g3p
possibilities,possibility.N
possibility,possibility.N
possible,possible.N
possibly,possibly.ADV
postcard,postcard.N
postcards,postcard.N
posted,post.V
posting,post.V
postponed,postpone.V
postpone,postpone.V::g1s:g1p:g2s:g2p:g3p
post,post.ADV
posts,post.V::g3s
pot,pot.V::g1s:g1p:g2s:g2p:g3p
pottering,potter.V
pounds,pound.V::g3s
powdered,powder.V
powerful,powerful.ADJ
power,power.V::g1s:g1p:g2s:g2p:g3p
powers,power.V::g3s
practically,practically.ADV
practice,practice.V::g1s:g1p:g2s:g2p:g3p
practise,practise.V::g1s:g1p:g2s:g2p:g3p
praised,praise.V
praise,praise.V::g1s:g1p:g2s:g2p:g3p
praising,praise.V
prayers,prayer.N
pray,pray.V::g1s:g1p:g2s:g2p:g3p
preaching,preach.V
precedent,precedent.N
precious,precious.ADV
precisely,precisely.ADV
precise,precise.ADJ
predicate,predicate.V::g1s:g1p:g2s:g2p:g3p
predictions,prediction.N
preeminent,preeminent.ADJ
prefaced,preface.V
preface,preface.V::g1s:g1p:g2s:g2p:g3p
preference,preference.N
prefer,prefer.V::g1s:g1p:g2s:g2p:g3p
preferred,prefer.V
prejudices,prejudice.V::g3s
preparation,preparation.N
preparations,preparation.N
prepared,prepare.V
prepare,prepare.V::g1s:g1p:g2s:g2p:g3p
preparing,prepare.V
prescribed,prescribe.V
prescribe,prescribe.V::g1s:g1p:g2s:g2p:g3p
prescription,prescription.N
prescriptions,prescription.N
presence,presence.N
presented,present.V
presenting,present.V
present,present.V::g1s:g1p:g2s:g2p:g3p
presents,present.V::g3s
preserving,preserve.V
preside,preside.V::g1s:g1p:g2s:g2p:g3p
press,press.V::g1s:g1p:g2s:g2p:g3p
presumably,presumably.ADV
presume,presume.V::g1s:g1p:g2s:g2p:g3p
pretence,pretence.N
pretences,pretence.N
pretended,pretend.V
pretend,pretend.V::g1s:g1p:g2s:g2p:g3p
pretty,pretty.ADV
prevail,prevail.V::g1s:g1p:g2s:g2p:g3p
prevented,prevent.V
preventing,prevent.V
prevent,prevent.V::g1s:g1p:g2s:g2p:g3p
prevents,prevent.V::g3s
previous,previous.ADV
preying,prey.V
price,price.V::g1s:g1p:g2s:g2p:g3p
pride,pride.V::g1s:g1p:g2s:g2p:g3p
primitiveness,primitiveness.N
primitive,primitive.N
principia,principium.N
principium,principium.N
principles,principle.N
printable,printable.ADJ
printed,print.V
printers,printer.N
printing,print.V
print,print.V::g1s:g1p:g2s:g2p:g3p
prisoner,prisoner.N
prisoners,prisoner.N
prison,prison.V::g1s:g1p:g2s:g2p:g3p
prius,prius.N
privately,privately.ADV
private,private.N
prize,prize.V::g1s:g1p:g2s:g2p:g3p
probability,probability.N
probable,probable.ADJ
probably,probably.ADV
problem,problem.N
problems,problem.N
proceedings,proceeding.N
proceed,proceed.V::g1s:g1p:g2s:g2p:g3p
processes,process.V::g3s
procession,procession.N
process,process.V::g1s:g1p:g2s:g2p:g3p
prodigy,prodigy.N
produced,produce.V
produce,produce.V::g1s:g1p:g2s:g2p:g3p
producing,produce.V
production,production.N
product,product.N
profane,profane.V::g1s:g1p:g2s:g2p:g3p
professional,professional.N
profession,profession.N
professorial,professorial.ADJ
professor,professor.N
professorship,professorship.N
profess,profess.V::g1s:g1p:g2s:g2p:g3p
profitable,profitable.ADJ
profitably,profitably.ADV
profit,profit.V::g1s:g1p:g2s:g2p:g3p
prof,prof.N
program,program.V::g1s:g1p:g2s:g2p:g3p
programs,program.V::g3s
progressed,progress.V
progresses,progress.V::g3s
progressing,progress.V
progress,progress.V::g1s:g1p:g2s:g2p:g3p
projection,projection.N
projective,projective.ADJ
projects,project.V::g3s
prolonged,prolong.V
promised,promise.V
promise,promise.V::g1s:g1p:g2s:g2p:g3p
promises,promise.V::g3s
prompt,prompt.V::g1s:g1p:g2s:g2p:g3p
pronounces,pronounce.V::g3s
proof,proof.V::g1s:g1p:g2s:g2p:g3p
proofs,proof.V::g3s
properly,properly.ADV
proper,proper.N
properties,property.N
property,property.N
prophesied,prophesy.V
prophet,prophet.N
proposal,proposal.N
proposed,propose.V
propose,propose.V::g1s:g1p:g2s:g2p:g3p
proposes,propose.V::g3s
propositional,propositional.ADJ
proposition,proposition.V::g1s:g1p:g2s:g2p:g3p
propositions,proposition.V::g3s
prop,prop.V::g1s:g1p:g2s:g2p:g3p
pro,pro.ADV
props,prop.V::g3s
prose,prose.V::g1s:g1p:g2s:g2p:g3p
prospective,prospective.ADJ
prospect,prospect.V::g1s:g1p:g2s:g2p:g3p
prostate,prostate.ADJ
protestant,protestant.N
proud,proud.ADJ
proved,prove.V
prove,prove.V::g1s:g1p:g2s:g2p:g3p
proves,prove.V::g3s
provided,provide.V
providence,providence.N
provide,provide.V::g1s:g1p:g2s:g2p:g3p
provides,provide.V::g3s
proving,prove.V
provision,provision.V::g1s:g1p:g2s:g2p:g3p
provisions,provision.V::g3s
psychiatrists,psychiatrist.N
psychical,psychical.ADJ
psychological,psychological.ADJ
psychologist,psychologist.N
psychologists,psychologist.N
psychology,psychology.N
psycho,psycho.N
publication,publication.N
publicly,publicly.ADV
publishable,publishable.ADJ
published,publish.V
publisher,publisher.N
publishers,publisher.N
publishes,publish.V::g3s
publishing,publish.V
publish,publish.V::g1s:g1p:g2s:g2p:g3p
pudding,pudding.N
puissance,puissance.N
pulled,pull.V
pulling,pull.V
pull,pull.V::g1s:g1p:g2s:g2p:g3p
punctuation,punctuation.N
pun,pun.V::g1s:g1p:g2s:g2p:g3p
pupil,pupil.N
pupils,pupil.N
purchased,purchase.V
puree,puree.V::g1s:g1p:g2s:g2p:g3p
purely,purely.ADV
pure,pure.ADJ
purpose,purpose.V::g1s:g1p:g2s:g2p:g3p
put,put.V::g1s:g1p:g2s:g2p:g3p
puts,put.V::g3s
putting,put.V
puzzled,puzzle.V
puzzle,puzzle.V::g1s:g1p:g2s:g2p:g3p
puzzles,puzzle.V::g3s
quaint,quaint.ADJ
qualification,qualification.N
qualified,qualify.V
qualify,qualify.V::g1s:g1p:g2s:g2p:g3p
qualities,quality.N
quality,quality.N
quantities,quantity.N
quantity,quantity.N
qua,qua.ADV
quarrelled,quarrel.V
quarters,quarter.V::g3s
quartets,quartet.N
quarto,quarto.N
quasi,quasi.ADV
queerer,queer.ADV
queer,queer.ADV
quench,quench.V::g1s:g1p:g2s:g2p:g3p
queried,query.V
queries,query.V::g3s
query,query.V::g1s:g1p:g2s:g2p:g3p
question,question.V::g1s:g1p:g2s:g2p:g3p
questions,question.V::g3s
quicker,quick.ADV
quickly,quickly.ADV
quick,quick.ADV
quietly,quietly.ADV
quiet,quiet.ADV
quite,quite.ADV
quit,quit.V::g1s:g1p:g2s:g2p:g3p
quod,quod.N
quo,quo.N
quorum,quorum.N
quotation,quotation.N
quotations,quotation.N
quoted,quote.V
quote,quote.V::g1s:g1p:g2s:g2p:g3p
race,race.V::g1s:g1p:g2s:g2p:g3p
radiators,radiator.N
radically,radically.ADV
radio,radio.V::g1s:g1p:g2s:g2p:g3p
radix,radix.N
rage,rage.V::g1s:g1p:g2s:g2p:g3p
rail,rail.V::g1s:g1p:g2s:g2p:g3p
railway,railway.N
rain,rain.V
rains,rain.V::g3s
rainy,rainy.ADJ
raise,raise.V::g1s:g1p:g2s:g2p:g3p
raises,raise.V::g3s
raising,raise.V
rank,rank.V::g1s:g1p:g2s:g2p:g3p
ranks,rank.V::g3s
ran,run.V
rapidly,rapidly.ADV
rapid,rapid.N
rapped,rap.V
rap,rap.V::g1s:g1p:g2s:g2p:g3p
rarely,rarely.ADV
rare,rare.ADV
rate,rate.V::g1s:g1p:g2s:g2p:g3p
rather,rather.ADV
rationally,rationally.ADV
rational,rational.N
ration,ration.V::g1s:g1p:g2s:g2p:g3p
rations,ration.V::g3s
ratio,ratio.N
raven,raven.V::g1s:g1p:g2s:g2p:g3p
ray,ray.V::g1s:g1p:g2s:g2p:g3p
rays,ray.V::g3s
reached,reach.V
reaches,reach.V::g3s
reach,reach.V::g1s:g1p:g2s:g2p:g3p
reacted,react.V
reaction,reaction.N
reader,reader.N
readers,reader.N
reading,read.V
readjusted,readjust.V
read,read.V::g1s:g1p:g2s:g2p:g3p
reads,read.V::g3s
ready,ready.V::g1s:g1p:g2s:g2p:g3p
realise,realise.V::g1s:g1p:g2s:g2p:g3p
reality,reality.N
realize,realize.V::g1s:g1p:g2s:g2p:g3p
really,really.ADV
real,real.N
reasoning,reason.V
reason,reason.V::g1s:g1p:g2s:g2p:g3p
reasons,reason.V::g3s
receipt,receipt.V::g1s:g1p:g2s:g2p:g3p
received,receive.V
receive,receive.V::g1s:g1p:g2s:g2p:g3p
receiving,receive.V
recently,recently.ADV
recent,recent.ADJ
recognise,recognise.V::g1s:g1p:g2s:g2p:g3p
recognized,recognize.V
recognize,recognize.V::g1s:g1p:g2s:g2p:g3p
recommendation,recommendation.N
recommended,recommend.V
recommending,recommend.V
recommend,recommend.V::g1s:g1p:g2s:g2p:g3p
recording,record.V
record,record.V::g1s:g1p:g2s:g2p:g3p
records,record.V::g3s
recovered,recover.V
recovering,recover.V
recover,recover.V::g1s:g1p:g2s:g2p:g3p
rectory,rectory.N
rede,rede.V::g1s:g1p:g2s:g2p:g3p
red,red.N
reduced,reduce.V
reducibility,reducibility.N
reels,reel.V::g3s
reentering,reenter.V
reference,reference.V::g1s:g1p:g2s:g2p:g3p
referred,refer.V
refer,refer.V::g1s:g1p:g2s:g2p:g3p
reflected,reflect.V
reformatory,reformatory.N
refrain,refrain.V::g1s:g1p:g2s:g2p:g3p
refugee,refugee.N
refugees,refugee.N
refunded,refund.V
refused,refuse.V
refuse,refuse.V::g1s:g1p:g2s:g2p:g3p
refuted,refute.V
regained,regain.V
regain,regain.V::g1s:g1p:g2s:g2p:g3p
regarded,regard.V
regard,regard.V::g1s:g1p:g2s:g2p:g3p
regards,regard.V::g3s
regime,regime.N
registered,register.V
registry,registry.N
regnum,regnum.N
regret,regret.V::g1s:g1p:g2s:g2p:g3p
regularly,regularly.ADV
regular,regular.N
regulating,regulate.V
regulations,regulation.N
rein,rein.V::g1s:g1p:g2s:g2p:g3p
rejected,reject.V
rejection,rejection.N
related,relate.V
relation,relation.N
relations,relation.N
relatives,relative.N
relaxation,relaxation.N
relaxing,relax.V
relevant,relevant.ADJ
reliable,reliable.ADJ
religious,religious.N
reluctance,reluctance.N
rely,rely.V::g1s:g1p:g2s:g2p:g3p
remained,remain.V
remaining,remain.V
remain,remain.V::g1s:g1p:g2s:g2p:g3p
remains,remain.V::g3s
remarkable,remarkable.ADJ
remark,remark.V::g1s:g1p:g2s:g2p:g3p
remarks,remark.V::g3s
remedy,remedy.V::g1s:g1p:g2s:g2p:g3p
remembered,remember.V
remembering,remember.V
remember,remember.V::g1s:g1p:g2s:g2p:g3p
reminded,remind.V
reminding,remind.V
remind,remind.V::g1s:g1p:g2s:g2p:g3p
reminds,remind.V::g3s
removed,remove.V
remove,remove.V::g1s:g1p:g2s:g2p:g3p
remunerate,remunerate.V::g1s:g1p:g2s:g2p:g3p
rendered,render.V
repatriation,repatriation.N
repeated,repeat.V
repeating,repeat.V
repeat,repeat.V::g1s:g1p:g2s:g2p:g3p
repeats,repeat.V::g3s
repelling,repel.V
repel,repel.V::g1s:g1p:g2s:g2p:g3p
repels,repel.V::g3s
repent,repent.V::g1s:g1p:g2s:g2p:g3p
repetitions,repetition.N
replaced,replace.V
replace,replace.V::g1s:g1p:g2s:g2p:g3p
replied,reply.V
replying,reply.V
reply,reply.V::g1s:g1p:g2s:g2p:g3p
report,report.V::g1s:g1p:g2s:g2p:g3p
reports,report.V::g3s
reprehensible,reprehensible.ADJ
representation,representation.N
representations,representation.N
representative,representative.N
represent,represent.V::g1s:g1p:g2s:g2p:g3p
represents,represent.V::g3s
repressed,repress.V
reprinted,reprint.V
reproaching,reproach.V
reproach,reproach.V::g1s:g1p:g2s:g2p:g3p
repulsive,repulsive.ADJ
required,require.V
requirements,requirement.N
require,require.V::g1s:g1p:g2s:g2p:g3p
reread,reread.V::g1s:g1p:g2s:g2p:g3p
researcher,researcher.N
researches,research.V::g3s
research,research.V::g1s:g1p:g2s:g2p:g3p
reserved,reserve.V
reserve,reserve.V::g1s:g1p:g2s:g2p:g3p
reserving,reserve.V
resided,reside.V
resignation,resignation.N
resigned,resign.V
resigning,resign.V
resign,resign.V::g1s:g1p:g2s:g2p:g3p
resistance,resistance.N
resolved,resolve.V
resourceful,resourceful.ADJ
respectability,respectability.N
respected,respect.V
respectively,respectively.ADV
respective,respective.ADJ
respect,respect.V::g1s:g1p:g2s:g2p:g3p
respects,respect.V::g3s
respond,respond.V::g1s:g1p:g2s:g2p:g3p
responsibility,responsibility.N
responsible,responsible.ADJ
restaurants,restaurant.N
rested,rest.V
rest,rest.V::g1s:g1p:g2s:g2p:g3p
rests,rest.V::g3s
result,result.V::g1s:g1p:g2s:g2p:g3p
results,result.V::g3s
resumed,resume.V
resume,resume.V::g1s:g1p:g2s:g2p:g3p
retain,retain.V::g1s:g1p:g2s:g2p:g3p
retarding,retard.V
retired,retire.V
retiring,retire.V
retrograde,retrograde.ADV
returned,return.V
returning,return.V
return,return.V::g1s:g1p:g2s:g2p:g3p
reverse,reverse.V::g1s:g1p:g2s:g2p:g3p
reviewer,reviewer.N
review,review.V::g1s:g1p:g2s:g2p:g3p
reviews,review.V::g3s
revision,revision.N
revive,revive.V::g1s:g1p:g2s:g2p:g3p
revolts,revolt.V::g3s
rewrite,rewrite.V::g1s:g1p:g2s:g2p:g3p
rex,rex.N
rib,rib.V::g1s:g1p:g2s:g2p:g3p
ribs,rib.V::g3s
rich,rich.ADJ
riddle,riddle.V::g1s:g1p:g2s:g2p:g3p
ridiculous,ridiculous.ADJ
rid,rid.V::g1s:g1p:g2s:g2p:g3p
rightly,rightly.ADV
right,right.ADV
rights,right.V::g3s
rigmarole,rigmarole.N
rime,rime.V::g1s:g1p:g2s:g2p:g3p
rim,rim.V::g1s:g1p:g2s:g2p:g3p
ring,ring.V::g1s:g1p:g2s:g2p:g3p
ripe,ripe.ADJ
riper,ripe.ADJ
rise,rise.V::g1s:g1p:g2s:g2p:g3p
rising,rise.V
risking,risk.V
risk,risk.V::g1s:g1p:g2s:g2p:g3p
ritual,ritual.N
river,river.N
road,road.N
rock,rock.V::g1s:g1p:g2s:g2p:g3p
role,role.N
rolled,roll.V
rollers,roller.N
roman,roman.N
room,room.V::g1s:g1p:g2s:g2p:g3p
rooms,room.V::g3s
rope,rope.V::g1s:g1p:g2s:g2p:g3p
roses,rose.N
rosy,rosy.ADJ
rote,rote.N
rotten,rotten.ADJ
rotting,rot.V
roughly,roughly.ADV
rough,rough.V::g1s:g1p:g2s:g2p:g3p
rounded,round.V
round,round.ADV
rowing,row.V
row,row.V::g1s:g1p:g2s:g2p:g3p
royalty,royalty.N
rubbish,rubbish.N
rudeness,rudeness.N
rude,rude.ADJ
rue,rue.V::g1s:g1p:g2s:g2p:g3p
ruled,rule.V
rule,rule.V::g1s:g1p:g2s:g2p:g3p
rules,rule.V::g3s
running,running.ADV
run,run.V::g1s:g1p:g2s:g2p:g3p
runs,run.V::g3s
rushed,rush.V
rush,rush.V::g1s:g1p:g2s:g2p:g3p
sabbatical,sabbatical.N
sacrifice,sacrifice.V::g1s:g1p:g2s:g2p:g3p
sacrifices,sacrifice.V::g3s
sad,sad.ADJ
safely,safely.ADV
safe,safe.N
sage,sage.N
sag,sag.V::g1s:g1p:g2s:g2p:g3p
said,say.V
sailing,sail.V
sail,sail.V::g1s:g1p:g2s:g2p:g3p
sails,sail.V::g3s
saint,saint.V::g1s:g1p:g2s:g2p:g3p
saker,saker.N
sake,sake.N
salaried,salaried.ADJ
salary,salary.N
sale,sale.N
salt,salt.V::g1s:g1p:g2s:g2p:g3p
same,same.PRO
sample,sample.V::g1s:g1p:g2s:g2p:g3p
sane,sane.ADJ
sang,sing.V
sanguine,sanguine.N
satisfaction,satisfaction.N
satisfactorily,satisfactorily.ADV
satisfactory,satisfactory.ADJ
satisfied,satisfy.V
sat,sit.V
saturday,saturday.N
sawdust,sawdust.N
saw,see.V
saying,say.V
sayings,saying.N
say,say.ADV
says,say.V::g3s
scaffolding,scaffolding.N
scale,scale.V::g1s:g1p:g2s:g2p:g3p
scandal,scandal.N
scarcity,scarcity.N
scenery,scenery.N
sceptical,sceptical.ADJ
schedule,schedule.V::g1s:g1p:g2s:g2p:g3p
schema,schema.N
scheme,scheme.V::g1s:g1p:g2s:g2p:g3p
scholarship,scholarship.N
schoolmaster,schoolmaster.N
school,school.V::g1s:g1p:g2s:g2p:g3p
science,science.N
scientific,scientific.ADJ
scientists,scientist.N
scilicet,scilicet.ADV
score,score.V::g1s:g1p:g2s:g2p:g3p
scoundrel,scoundrel.N
scratch,scratch.V::g1s:g1p:g2s:g2p:g3p
screwed,screw.V
scripts,script.V::g3s
seals,seal.V::g3s
seams,seam.V::g3s
seamstress,seamstress.N
sea,sea.N
season,season.V::g1s:g1p:g2s:g2p:g3p
seats,seat.V::g3s
secondary,secondary.N
secondhand,secondhand.ADV
second,second.ADV
secretary,secretary.N
sedatives,sedative.N
seek,seek.V::g1s:g1p:g2s:g2p:g3p
seemed,seem.V
seem,seem.V::g1s:g1p:g2s:g2p:g3p
seems,seem.V::g3s
seen,see.V
seer,seer.N
see,see.V::g1s:g1p:g2s:g2p:g3p
sees,see.V::g3s
seiner,seiner.N
seine,seine.V::g1s:g1p:g2s:g2p:g3p
seines,seine.V::g3s
self,self.PRO
seller,seller.N
selling,sell.V
sell,sell.V::g1s:g1p:g2s:g2p:g3p
sells,sell.V::g3s
sender,sender.N
sending,send.V
send,send.V::g1s:g1p:g2s:g2p:g3p
sends,send.V::g3s
senseless,senseless.ADJ
sense,sense.V::g1s:g1p:g2s:g2p:g3p
senses,sense.V::g3s
sensibly,sensibly.ADV
sensitive,sensitive.ADJ
sentence,sentence.V::g1s:g1p:g2s:g2p:g3p
sentences,sentence.V::g3s
sent,send.V
separately,separately.ADV
separate,separate.V::g1s:g1p:g2s:g2p:g3p
separating,separate.V
sequence,sequence.V::g1s:g1p:g2s:g2p:g3p
serial,serial.N
series,series.N
seriously,seriously.ADV
seriousness,seriousness.N
serious,serious.ADJ
sermon,sermon.N
serpents,serpent.N
serve,serve.V::g1s:g1p:g2s:g2p:g3p
serves,serve.V::g3s
service,service.V::g1s:g1p:g2s:g2p:g3p
services,service.V::g3s
set,set.V::g1s:g1p:g2s:g2p:g3p
settled,settle.V
settlement,settlement.N
settle,settle.V::g1s:g1p:g2s:g2p:g3p
several,several.PRO
severe,severe.ADJ
shabby,shabby.ADJ
shaken,shake.V
shake,shake.V::g1s:g1p:g2s:g2p:g3p
shaky,shaky.ADJ
shallowness,shallowness.N
shallow,shallow.V::g1s:g1p:g2s:g2p:g3p
shall,shall.V::g1s:g1p:g2s:g2p:g3s:g3p
shamefully,shamefully.ADV
shameful,shameful.ADJ
shame,shame.V::g1s:g1p:g2s:g2p:g3p
sham,sham.V::g1s:g1p:g2s:g2p:g3p
shan,shan.N
shape,shape.V::g1s:g1p:g2s:g2p:g3p
shared,share.V
share,share.V::g1s:g1p:g2s:g2p:g3p
shaving,shave.V
shavings,shaving.N
shed,shed.V::g1s:g1p:g2s:g2p:g3p
sheer,sheer.ADV
sheet,sheet.V::g1s:g1p:g2s:g2p:g3p
sheets,sheet.V::g3s
shelf,shelf.N
shelter,shelter.V::g1s:g1p:g2s:g2p:g3p
she,she.PRO
shifting,shift.V
shines,shine.V::g3s
shining,shine.V
ship,ship.V::g1s:g1p:g2s:g2p:g3p
shirker,shirker.N
shirk,shirk.V::g1s:g1p:g2s:g2p:g3p
shirts,shirt.V::g3s
shocked,shock.V
shocking,shock.V
shock,shock.V::g1s:g1p:g2s:g2p:g3p
shoes,shoe.V::g3s
shooting,shoot.V
shop,shop.V::g1s:g1p:g2s:g2p:g3p
shops,shop.V::g3s
shore,shore.V::g1s:g1p:g2s:g2p:g3p
shortage,shortage.N
shorten,shorten.V::g1s:g1p:g2s:g2p:g3p
shortly,shortly.ADV
shortness,shortness.N
short,short.ADV
shot,shoot.V
shoulders,shoulder.V::g3s
