Aar,Aar.N:m
angeblich,angeblich.ADJ
Angebot,Angebot.N:n
angeboten,anbieten.V#2
Angeboten,Angebot.N:3pn
angebotene,angeboten.ADJ
Angebotene,Angebotene.N
Angedenken,Angedenken.N:n
angedeutet,andeuten.V#2
angedeuteten,angedeutet.ADJ
Angedeuteten,Angedeutete.N
angeekelt,anekeln.V#2
angefangen,anfangen.V#2
angefordert,anfordern.V#2
angefragt,anfragen.V#2
angegeben,angeben.V#2
angegebene,angegeben.ADJ
Angegebene,Angegebene.N
angegebenen,angegeben.ADJ
Angegebenen,Angegebene.N
angegriffen,angreifen.V#2
angehäuft,anhäufen.V#2
Angehen,Angehen.N:4sn:3sn:1sn
angehen,angehen.V#2
angeht,angehen.V#2
angekommen,ankommen.V#2
angekündigte,angekündigt.ADJ
Angekündigte,Angekündigte.N
angekündigten,angekündigt.ADJ
Angekündigten,Angekündigte.N
angelangt,anlangen.V#2
Angelegenheit,Angelegenheit.N:4sf:3sf:2sf:1sf
Angelegenheiten,Angelegenheit.N:4pf:3pf:2pf:1pf
angelogen,anlügen.V#2
angenehm,angenehm.ADJ
angenehme,angenehm.ADJ
Angenehme,Angenehme.N
angenommen,annehmen.V#2
Anger,Anger.N:m
angeraten,anraten.V#2
angeregt,anregen.V#2
angesagt,ansagen.V#2
angesammelten,angesammelt.ADJ
Angesammelten,Angesammelte.N
angesehen,ansehen.V#2
angesetzt,ansetzen.V#2
Angesichts,Angesicht.N:2sn
angestaute,angestaut.ADJ
Angestaute,Angestaute.N
angestellt,anstellen.V#2
angestellter,angestellt.ADJ
Angestellter,Angestellte.N
angestiftet,anstiften.V#2
angestrengt,anstrengen.V#2
angestrichene,angestrichen.ADJ
Angestrichene,Angestrichene.N
angetan,antun.V#2
angetragen,antragen.V#2
angetroffen,antreffen.V#2
angezeichnet,angezeichnet.ADJ
angezeigt,anzeigen.V#2
angle,angeln.V
angreifend,angreifen.V#2
angreift,angreifen.V#2
angst,angst.ADJ
Angst,Angst.N:f
Ängstlichkeit,Ängstlichkeit.N:4sf:3sf:2sf:1sf
Anhaben,Anhaben.N:4sn:3sn:1sn
anhaben,anhaben.V#2
anhalt,anhalten.V#2
Anhalt,Anhalt.N:m
Anhalten,Anhalt.N:3pm
anhalten,anhalten.V#2
Anhang,Anhang.N:m
anhängliche,anhänglich.ADJ
Anhängliche,Anhängliche.N
anhänglichen,anhänglich.ADJ
Anhänglichen,Anhängliche.N
