Aar,Aar.N:m
Aufrichtigste,Aufrichtige.N
Aufsatz,Aufsatz.N:m
Aufsatze,Aufsatz.N:m
Aufsatzes,Aufsatz.N:m
Aufschluß,Aufschluß.N:m
Aufschreibungen,Aufschreibung.N:f
Aufschütteln,Aufschütteln.N:n
Aufsehen,Aufsehen.N:n
Aufspielen,Aufspielen.N:n
Aufstehen,Aufstehen.N:n
Aufstellen,Aufstellen.N:n
Aufstellung,Aufstellung.N:f
Aufstiegen,Aufstieg.N:m
Aufsuchen,Aufsuchen.N:n
Aufsätze,Aufsatz.N:m
Aufteilung,Aufteilung.N:f
Auftrag,Auftrag.N:m
Auftrages,Auftrag.N:m
Auftreiben,Auftreiben.N:n
Auftritt,Auftritt.N:m
Aufträge,Auftrag.N:m
Aufwachen,Aufwachen.N:n
Aufwecken,Aufwecken.N:n
Aufzeichnungen,Aufzeichnung.N:f
Auge,Auge.N:n
Augen,Auge.N
August,August.N:m
Aurum,Aurum.N:n
Ausarbeitung,Ausarbeitung.N:f
Ausbessern,Ausbessern.N:n
Ausbesserung,Ausbesserung.N:f
Ausbildung,Ausbildung.N:f
Ausblick,Ausblick.N:m
Ausbruch,Ausbruch.N:m
Ausdauer,Ausdauer.N:f
Ausdruck,Ausdruck.N:m
Ausdrucke,Ausdruck.N:m
Ausdrucks,Ausdruck.N:m
Ausdrücke,Ausdruck.N:m
Ausdrücken,Ausdruck.N:m
Auseinandersetzen,Auseinandersetzen.N:n
Auseinandersetzung,Auseinandersetzung.N:f
Ausfallen,Ausfallen.N:n
Ausflug,Ausflug.N:m
Ausfressen,Ausfressen.N:n
Ausführliche,Ausführliche.N
Ausführlichen,Ausführliche.N
Ausführlicher,Ausführliche.N
Ausführliches,Ausführliche.N
Ausführung,Ausführung.N:f
Ausführungen,Ausführung.N:f
Ausgabe,Ausgabe.N:f
Ausgeben,Ausgeben.N:n
Ausgedehnten,Ausgedehnte.N
Ausgedrückte,Ausgedrückte.N
Ausgedrückten,Ausgedrückte.N
Ausgerissenen,Ausgerissene.N
Ausgesprochene,Ausgesprochene.N
Ausgesprochenen,Ausgesprochene.N
Ausgezeichnete,Ausgezeichnete.N
Ausgezeichneten,Ausgezeichnete.N
Ausgezeichnetes,Ausgezeichnete.N
Ausgleichen,Ausgleich.N:m
Ausgrabungen,Ausgrabung.N:f
Aushalte,Aushalt.N:m
Aushalten,Aushalt.N:m
Ausharren,Ausharren.N:n
Auskennen,Auskennen.N:n
Auskommen,Auskommen.N:n
Auskunft,Auskunft.N:f
Auskünfte,Auskunft.N:f
Auslage,Auslage.N:f
Auslagen,Auslage.N:f
Auslassen,Auslassen.N:n
Ausleeren,Ausleeren.N:n
Ausleihen,Ausleihe.N
Ausländer,Ausländer.N:m
Auslöschen,Auslöschen.N:n
Ausnahme,Ausnahme.N:f
Ausnahmen,Ausnahme.N:f
Ausrede,Ausrede.N:f
Ausreichen,Ausreichen.N:n
Ausreifen,Ausreifen.N:n
Ausrichten,Ausrichten.N:n
Ausrufern,Ausrufer.N:m
Ausruhen,Ausruhen.N:n
Ausrückung,Ausrückung.N:f
Aussage,Aussage.N:f
Aussagen,Aussage.N:f
Ausschau,Ausschau.N:f
Ausschauen,Ausschau.N:f
Ausschnitt,Ausschnitt.N:m
Ausschnitte,Ausschnitt.N:m
Aussehen,Aussehen.N:n
Aussicht,Aussicht.N:f
Aussichten,Aussicht.N:f
Aussprache,Aussprache.N:f
Aussprechen,Aussprechen.N:n
Ausstehen,Ausstehen.N:n
Ausstellen,Ausstellen.N:n
Aussuchen,Aussuchen.N:n
Austilgen,Austilgen.N:n
Austragen,Austragen.N:n
Austritt,Austritt.N:m
Auswahl,Auswahl.N:f
Ausweg,Ausweg.N:m
Auswuchs,Auswuchs.N:m
Auszahlen,Auszahlen.N:n
Auszeichnung,Auszeichnung.N:f
Auszeichnungen,Auszeichnung.N:f
Auszug,Auszug.N:m
Ausüben,Ausüben.N:n
Auto,Auto.N:n
Autograph,Autograph.N:n
Automobile,Automobil.N:n
Automobilen,Automobil.N:n
Autoren,Autor.N:m
Autorität,Autorität.N:f
Autorschaft,Autorschaft.N:f
Autos,Auto.N:n:1pn
